,2000m,2000m ave,1500m *5 ave,diff
0,6:00,1:30.0,1:34.0,0:04.0
1,6:01,1:30.2,1:34.2,0:04.0
2,6:02,1:30.5,1:34.5,0:04.0
3,6:03,1:30.8,1:34.8,0:04.0
4,6:04,1:31.0,1:35.0,0:04.0
5,6:05,1:31.2,1:35.3,0:04.0
6,6:06,1:31.5,1:35.5,0:04.0
7,6:07,1:31.8,1:35.8,0:04.0
8,6:08,1:32.0,1:36.1,0:04.1
9,6:09,1:32.2,1:36.3,0:04.1
10,6:10,1:32.5,1:36.6,0:04.1
11,6:11,1:32.8,1:36.8,0:04.1
12,6:12,1:33.0,1:37.1,0:04.1
13,6:13,1:33.2,1:37.4,0:04.1
14,6:14,1:33.5,1:37.6,0:04.1
15,6:15,1:33.8,1:37.9,0:04.1
16,6:16,1:34.0,1:38.1,0:04.1
17,6:17,1:34.2,1:38.4,0:04.2
18,6:18,1:34.5,1:38.7,0:04.2
19,6:19,1:34.8,1:38.9,0:04.2
20,6:20,1:35.0,1:39.2,0:04.2
21,6:21,1:35.2,1:39.5,0:04.2
22,6:22,1:35.5,1:39.7,0:04.2
23,6:23,1:35.8,1:40.0,0:04.2
24,6:24,1:36.0,1:40.2,0:04.2
25,6:25,1:36.2,1:40.5,0:04.2
26,6:26,1:36.5,1:40.8,0:04.3
27,6:27,1:36.8,1:41.0,0:04.3
28,6:28,1:37.0,1:41.3,0:04.3
29,6:29,1:37.2,1:41.5,0:04.3
30,6:30,1:37.5,1:41.8,0:04.3
31,6:31,1:37.8,1:42.1,0:04.3
32,6:32,1:38.0,1:42.3,0:04.3
33,6:33,1:38.2,1:42.6,0:04.3
34,6:34,1:38.5,1:42.8,0:04.3
35,6:35,1:38.8,1:43.1,0:04.4
36,6:36,1:39.0,1:43.4,0:04.4
37,6:37,1:39.2,1:43.6,0:04.4
38,6:38,1:39.5,1:43.9,0:04.4
39,6:39,1:39.8,1:44.2,0:04.4
40,6:40,1:40.0,1:44.4,0:04.4
41,6:41,1:40.2,1:44.7,0:04.4
