,m1x,m2+,m2-,m2x,m4+,m4-,m4x,m8+,w1x,w2-,w2x,w4x+,w4x,w4+
0,1:39.6,1:42.7,1:37.2,1:31.6,1:30,1:26.5,1:24.0,1:20.9,1:52.1,1:48.2,1:42.0,1:36.8,1:34.3,1:40.3
1,1:40.7,1:43.8,1:38.3,1:32.6,1:31,1:27.5,1:24.9,1:21.8,1:53.3,1:49.4,1:43.1,1:37.9,1:35.4,1:41.5
2,1:41.8,1:45.0,1:39.4,1:33.7,1:32,1:28.4,1:25.8,1:22.7,1:54.5,1:50.6,1:44.2,1:39.0,1:36.4,1:42.6
3,1:43.0,1:46.1,1:40.4,1:34.7,1:33,1:29.4,1:26.8,1:23.6,1:55.8,1:51.8,1:45.4,1:40.1,1:37.5,1:43.7
4,1:44.1,1:47.3,1:41.5,1:35.7,1:34,1:30.3,1:27.7,1:24.5,1:57.0,1:53.0,1:46.5,1:41.1,1:38.5,1:44.8
5,1:45.2,1:48.4,1:42.6,1:36.7,1:35,1:31.3,1:28.6,1:25.4,1:58.3,1:54.2,1:47.6,1:42.2,1:39.6,1:45.9
6,1:46.3,1:49.5,1:43.7,1:37.7,1:36,1:32.3,1:29.6,1:26.3,1:59.5,1:55.4,1:48.8,1:43.3,1:40.6,1:47.0
7,1:47.4,1:50.7,1:44.8,1:38.7,1:37,1:33.2,1:30.5,1:27.2,2:00.8,1:56.6,1:49.9,1:44.4,1:41.7,1:48.2
8,1:48.5,1:51.8,1:45.8,1:39.8,1:38,1:34.2,1:31.4,1:28.1,2:02.0,1:57.8,1:51.0,1:45.4,1:42.7,1:49.3
9,1:49.6,1:53.0,1:46.9,1:40.8,1:39,1:35.1,1:32.4,1:29.0,2:03.3,1:59.0,1:52.2,1:46.5,1:43.8,1:50.4
10,1:50.7,1:54.1,1:48.0,1:41.8,1:40,1:36.1,1:33.3,1:29.9,2:04.5,2:00.2,1:53.3,1:47.6,1:44.8,1:51.5
11,1:51.8,1:55.2,1:49.1,1:42.8,1:41,1:37.1,1:34.2,1:30.8,2:05.7,2:01.4,1:54.4,1:48.7,1:45.8,1:52.6
12,1:52.9,1:56.4,1:50.2,1:43.8,1:42,1:38.0,1:35.2,1:31.7,2:07.0,2:02.6,1:55.6,1:49.8,1:46.9,1:53.7
13,1:54.0,1:57.5,1:51.2,1:44.9,1:43,1:39.0,1:36.1,1:32.6,2:08.2,2:03.8,1:56.7,1:50.8,1:47.9,1:54.8
14,1:55.1,1:58.7,1:52.3,1:45.9,1:44,1:39.9,1:37.0,1:33.5,2:09.5,2:05.0,1:57.8,1:51.9,1:49.0,1:56.0
15,1:56.2,1:59.8,1:53.4,1:46.9,1:45,1:40.9,1:38.0,1:34.4,2:10.7,2:06.2,1:59.0,1:53.0,1:50.0,1:57.1
16,1:57.3,2:00.9,1:54.5,1:47.9,1:46,1:41.9,1:38.9,1:35.3,2:12.0,2:07.4,2:00.1,1:54.1,1:51.1,1:58.2
17,1:58.4,2:02.1,1:55.6,1:48.9,1:47,1:42.8,1:39.8,1:36.2,2:13.2,2:08.6,2:01.2,1:55.1,1:52.1,1:59.3
18,1:59.6,2:03.2,1:56.6,1:49.9,1:48,1:43.8,1:40.8,1:37.1,2:14.5,2:09.8,2:02.4,1:56.2,1:53.2,2:00.4
19,2:00.7,2:04.4,1:57.7,1:51.0,1:49,1:44.7,1:41.7,1:38.0,2:15.7,2:11.0,2:03.5,1:57.3,1:54.2,2:01.5
20,2:01.8,2:05.5,1:58.8,1:52.0,1:50,1:45.7,1:42.6,1:38.9,2:17.0,2:12.2,2:04.6,1:58.4,1:55.3,2:02.7
21,2:02.9,2:06.7,1:59.9,1:53.0,1:51,1:46.7,1:43.6,1:39.8,2:18.2,2:13.4,2:05.8,1:59.4,1:56.3,2:03.8
22,2:04.0,2:07.8,2:01.0,1:54.0,1:52,1:47.6,1:44.5,1:40.7,2:19.4,2:14.6,2:06.9,2:00.5,1:57.4,2:04.9
23,2:05.1,2:08.9,2:02.0,1:55.0,1:53,1:48.6,1:45.4,1:41.6,2:20.7,2:15.8,2:08.0,2:01.6,1:58.4,2:06.0
24,2:06.2,2:10.1,2:03.1,1:56.1,1:54,1:49.6,1:46.4,1:42.5,2:21.9,2:17.0,2:09.2,2:02.7,1:59.5,2:07.1
25,2:07.3,2:11.2,2:04.2,1:57.1,1:55,1:50.5,1:47.3,1:43.4,2:23.2,2:18.2,2:10.3,2:03.7,2:00.5,2:08.2
26,2:08.4,2:12.4,2:05.3,1:58.1,1:56,1:51.5,1:48.2,1:44.3,2:24.4,2:19.4,2:11.4,2:04.8,2:01.6,2:09.3
27,2:09.5,2:13.5,2:06.4,1:59.1,1:57,1:52.4,1:49.2,1:45.2,2:25.7,2:20.6,2:12.6,2:05.9,2:02.6,2:10.5
28,2:10.6,2:14.6,2:07.4,2:00.1,1:58,1:53.4,1:50.1,1:46.1,2:26.9,2:21.8,2:13.7,2:07.0,2:03.7,2:11.6
29,2:11.7,2:15.8,2:08.5,2:01.1,1:59,1:54.4,1:51.0,1:47.0,2:28.2,2:23.0,2:14.8,2:08.0,2:04.7,2:12.7
30,2:12.8,2:16.9,2:09.6,2:02.2,2:00,1:55.3,1:52.0,1:47.9,2:29.4,2:24.2,2:16.0,2:09.1,2:05.8,2:13.8
31,2:13.9,2:18.1,2:10.7,2:03.2,2:01,1:56.3,1:52.9,1:48.8,2:30.6,2:25.4,2:17.1,2:10.2,2:06.8,2:14.9
32,2:15.1,2:19.2,2:11.8,2:04.2,2:02,1:57.2,1:53.8,1:49.7,2:31.9,2:26.6,2:18.2,2:11.3,2:07.9,2:16.0
33,2:16.2,2:20.3,2:12.8,2:05.2,2:03,1:58.2,1:54.8,1:50.6,2:33.1,2:27.8,2:19.4,2:12.3,2:08.9,2:17.1
34,2:17.3,2:21.5,2:13.9,2:06.2,2:04,1:59.2,1:55.7,1:51.5,2:34.4,2:29.0,2:20.5,2:13.4,2:10.0,2:18.3
35,2:18.4,2:22.6,2:15.0,2:07.2,2:05,2:00.1,1:56.6,1:52.4,2:35.6,2:30.2,2:21.6,2:14.5,2:11.0,2:19.4
36,2:19.5,2:23.8,2:16.1,2:08.3,2:06,2:01.1,1:57.6,1:53.3,2:36.9,2:31.5,2:22.8,2:15.6,2:12.0,2:20.5
37,2:20.6,2:24.9,2:17.2,2:09.3,2:07,2:02.0,1:58.5,1:54.2,2:38.1,2:32.7,2:23.9,2:16.7,2:13.1,2:21.6
38,2:21.7,2:26.0,2:18.2,2:10.3,2:08,2:03.0,1:59.4,1:55.1,2:39.4,2:33.9,2:25.0,2:17.7,2:14.1,2:22.7
39,2:22.8,2:27.2,2:19.3,2:11.3,2:09,2:04.0,2:00.4,1:56.0,2:40.6,2:35.1,2:26.2,2:18.8,2:15.2,2:23.8
