,boat_type,PT,PT[s],100%,97.5%,95%,92.5%,90%
0,m1x,7:15.8,435.8,7:15.8,7:27.0,7:38.7,7:51.1,8:04.2
1,m2x,6:43.2,403.2,6:43.2,6:53.5,7:04.4,7:15.9,7:28.0
2,m2-,6:58.0,418.0,6:58.0,7:08.7,7:20.0,7:31.9,7:44.4
3,m4x,6:09.6,369.6,6:09.6,6:19.1,6:29.1,6:39.6,6:50.7
4,m4-,6:18.3,378.3,6:18.3,6:28.0,6:38.2,6:49.0,7:00.3
5,m4+,6:39.0,399.0,6:39.0,6:49.2,7:00.0,7:11.4,7:23.3
6,m8+,5:53.4,353.4,5:53.4,6:02.5,6:12.0,6:22.1,6:32.7
7,w1x,8:05.8,485.8,8:05.8,8:18.3,8:31.4,8:45.2,8:59.8
8,w2x,7:26.5,446.5,7:26.5,7:37.9,7:50.0,8:02.7,8:16.1
9,w2-,7:50.1,470.1,7:50.1,8:02.2,8:14.8,8:28.2,8:42.3
10,w4x,6:45.5,405.5,6:45.5,6:55.9,7:06.8,7:18.4,7:30.6
11,w4+,7:21.3,441.3,7:21.3,7:32.6,7:44.5,7:57.1,8:10.3
12,w8+,7:06.5,426.5,7:06.5,7:17.4,7:28.9,7:41.1,7:53.9
